Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,Shuttle,Cone,Vertical,Broad,Bench
Victor Cruz,FA,2010,Pro Day,72,204,,,4.47,4.17,6.96,41.5,125.0,16.0
B.J. Cunningham,FA,2012,Combine,74,215,33.00,8.13,4.59,,7.10,31.0,116.0,12.0
Jamal Custis,FA,2019,Combine,76,213,33.88,10.88,4.50,,,34.5,124.0,0.0
DaVaris Daniels,FA,2015,Combine,73,201,31.25,9.00,4.62,,,37.0,122.0,13.0
Amara Darboh,FA,2017,Combine,74,215,32.63,9.88,4.45,,,36.0,124.0,17.0
Frank Darby,FA,2021,Pro Day,73,200,31.75,9.38,4.59,4.23,7.15,34.5,117.0,19.0
Jaelon Darden,TB,2021,Pro Day,68,174,30.63,8.75,4.44,4.10,6.67,35.5,122.0,11.0
Ryan Davis,FA,2019,Combine,69,185,30.88,9.25,,4.23,7.09,35.0,124.0,12.0
Trevor Davis,FA,2016,Combine,73,188,31.00,10.00,4.42,4.22,6.60,38.5,124.0,11.0
Gabe Davis,BUF,2020,Combine,74,210,32.25,9.25,4.54,4.59,7.08,35.0,124.0,14.0
Quartney Davis,FA,2020,Combine,73,200,31.38,9.50,4.54,,,35.5,0.0,
Marcus Davis,FA,2017,Pro Day,69,179,,,4.49,,,31.5,108.0,
Reggie Davis,FA,2017,Pro Day,72,170,,,4.31,,,,,
Corey Davis,NYJ,2017,Combine,75,209,33.00,9.13,,,,,,
Titus Davis,FA,2015,Combine,73,200,29.63,8.25,4.51,4.28,7.14,32.5,119.0,
Robert Davis,FA,2017,Combine,75,212,33.00,9.63,4.44,4.28,6.82,41.0,136.0,19.0
Mike Davis,FA,2015,Combine,72,189,30.25,9.38,4.61,4.18,7.00,34.0,116.0,17.0
Quinshad Davis,FA,2016,Pro Day,75,218,,,4.69,4.35,7.07,31.5,113.0,17.0
Devante Davis,FA,2015,Combine,75,220,32.38,9.50,4.57,4.12,7.25,35.5,115.0,16.0
Felton Davis,FA,2019,Combine,75,211,32.75,10.25,,,,,0.0,21.0
Geremy Davis,FA,2015,Combine,75,211,32.50,9.50,,4.18,6.86,36.5,124.0,23.0
Andre Debose,FA,,Pro Day,72,190,,,4.40,4.09,6.93,37.5,123.0,12.0
Eric Decker,FA,2010,Combine,75,214,31.00,9.13,,,,,,15.0
Mark Dell,FA,2011,Pro Day,74,195,,,4.54,4.15,6.89,33.0,117.0,
Gehrig Dieter,FA,2017,Combine,75,207,,,4.58,,,32.5,108.0,15.0
Stefon Diggs,BUF,2015,Combine,72,191,31.25,10.00,4.46,4.32,7.03,35.0,115.0,
Johnnie Dixon,FA,2019,Combine,71,198,30.25,9.63,4.41,4.43,,37.5,120.0,16.0
Aaron Dobson,FA,2013,Combine,75,205,33.00,9.00,,,,,,
Rahmel Dockery,FA,2017,Pro Day,70,180,30.00,8.75,4.70,,7.01,29.0,108.0,10.0
Josh Doctson,FA,2016,Combine,74,205,31.88,9.88,4.50,4.08,6.84,41.0,131.0,14.0
Phillip Dorsett,HOU,2015,Combine,70,192,30.25,9.38,4.33,4.11,6.70,37.0,122.0,13.0
Greg Dortch,ARI,2019,Combine,67,175,29.25,9.25,,,,,,
Tandon Doss,FA,2011,Combine,74,205,31.25,10.13,,,,,,14.0
Keelan Doss,LAC,2019,Combine,75,204,31.75,9.50,,,,,,8.0
