"","player","player_id","position","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","receptions","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","Year","Height..in.","Weight..lbs.","X40.Yard","Bench.Press","Vert.Leap..in.","Broad.Jump..in.","Shuttle","X3Cone"
"16","Antwan Goodley",9843,"WR","BAYLOR",11,12.5,10,58.8,NA,0,0,0,13,9,0,118,1,51.4,54.4,70.3,NA,68.1,0,0,1,66,0,0,428,2,60,95.1,407,11.4,49,100.5,102,6,86.7,371,830,344,5.7,13.8,2.04,2015,70.25,209,4.44,NA,35,127,4.38,7.19
"17","Devin Funchess",9474,"WR","MICHIGAN",11,9.7,7,60.8,NA,0,0,2,8.8,6,0,222,0,66.1,75.2,72,69.8,71.8,2.6,9,4,45,0.3,1,345,2,62,96.2,332,39.4,136,79.4,102,4,57.7,199,733,268,4.3,11.8,2.21,2015,76.25,232,4.7,17,38.5,122,4.48,6.98
"18","Titus Davis",10126,"WR","C MICHIGAN",10,13.6,9,60.6,NA,0,0,1,10.4,7,1,134,0,61,75.4,87.6,NA,89.6,0.3,1,3,53,0,0,291,3,60,95.5,278,18.2,53,120.8,99,13,81.4,237,980,259,4.3,16.3,3.53,2015,72.75,196,4.51,NA,32.5,119,4.28,7.14
"19","Ty Montgomery",9527,"WR","STANFORD",11,6.5,16,62.2,NA,0,0,0,7.6,5,0,300,1,66.6,49.2,78.6,NA,74.6,0.3,1,5,44,0,0,292,0,61,95.9,280,21.6,63,68.6,98,3,77.4,226,604,437,7.2,9.9,2.16,2015,71.88,221,4.55,16,40.5,121,4.21,6.97
"20","Stefon Diggs",9579,"WR","MARYLAND",10,7.3,13,64.9,NA,0,0,0,8.7,6,0,215,0,67.2,75.8,79.5,NA,79.3,0,0,2,77,0,0,365,2,63,97.3,355,81.6,298,99,97,5,17,62,796,524,8.3,12.6,2.24,2015,72,195,4.46,11,35,115,4.32,7.03
"21","Breshad Perriman",9459,"WR","UCF",13,17.7,7,51.5,NA,0,0,0,13.8,8,1,323,0,45.9,74.2,71.8,NA,71.8,0,0,3,61,0,0,440,2,50,94.1,414,5.9,26,107.9,97,9,94.1,414,1044,253,5.1,20.9,2.52,2015,74,212,4.52,18,36.5,127,NA,NA
"22","Deon Long",10102,"WR","MARYLAND",13,10.7,6,55.4,NA,0,0,0,7.3,4,1,215,0,71.4,74.2,63.1,NA,62.9,0,0,4,50,0,0,428,4,51,97,415,2.6,11,63.5,92,2,97.4,417,575,248,4.9,11.3,1.39,2015,71.63,192,4.51,12,34,120,4.27,6.98
"23","Cam Worthy",9868,"WR","E CAROLINA",11,16.9,2,59.8,NA,0,0,1,3.5,2,0,156,0,84.1,74.3,76,NA,77.1,0,0,2,53,0,0,515,2,55,95.1,490,22.9,118,103.4,92,4,77.1,397,1016,216,3.9,18.5,2.07,2015,74.25,211,4.59,12,NA,NA,NA,NA
"24","Jaxon Shipley",9806,"WR","TEXAS",12,9.2,1,66.7,NA,0,0,0,3.2,2,2,311,2,85,28.6,64,NA,63.9,0.5,2,2,48,0,0,384,1,60,95.8,368,72.1,277,80.1,90,1,27.3,105,605,214,3.6,10.1,1.64,2015,72.13,193,4.54,10,35.5,128,4.37,6.82
"25","Kenny Bell",9595,"WR","NEBRASKA",13,15.6,9,52.2,NA,0,0,0,9.6,5,0,238,0,63.8,73.6,85.4,60.9,81.8,0.4,1,5,73,0.4,1,274,1,47,96,263,18.2,50,81.3,90,6,81,222,792,303,6.4,16.9,3.01,2015,73.13,197,4.42,7,41.5,129,4.15,6.66
"26","Austin Hill",10147,"WR","ARIZONA",14,8.9,6,57,NA,0,0,0,5.8,3,0,109,0,76.8,73.9,55.9,41.3,56,15.3,89,3,92,4.3,25,580,3,49,90.2,523,50.2,291,81.3,86,4,32.4,188,635,288,5.9,13,1.21,2015,74.13,214,4.59,17,36.5,121,4.11,6.72
